, where, what, value
390, GPU1.SA_04.CU_00, cu_rb_write_vectorial, 0.000000000000
391, GPU1.SA_04.CU_01, cu_rb_read_scalar, 0.000000000000
392, GPU1.SA_04.CU_01, cu_rb_write_scalar, 0.000000000000
393, GPU1.SA_04.CU_01, cu_rb_read_vectorial, 0.000000000000
394, GPU1.SA_04.CU_01, cu_rb_write_vectorial, 0.000000000000
395, GPU1.SA_04.CU_02, cu_rb_read_scalar, 0.000000000000
396, GPU1.SA_04.CU_02, cu_rb_write_scalar, 0.000000000000
397, GPU1.SA_04.CU_02, cu_rb_read_vectorial, 0.000000000000
398, GPU1.SA_04.CU_02, cu_rb_write_vectorial, 0.000000000000
399, GPU1.SA_04.CU_03, cu_rb_read_scalar, 0.000000000000
400, GPU1.SA_04.CU_03, cu_rb_write_scalar, 0.000000000000
401, GPU1.SA_04.CU_03, cu_rb_read_vectorial, 0.000000000000
402, GPU1.SA_04.CU_03, cu_rb_write_vectorial, 0.000000000000
403, GPU1.SA_05.CU_00, cu_rb_read_scalar, 0.000000000000
404, GPU1.SA_05.CU_00, cu_rb_write_scalar, 0.000000000000
405, GPU1.SA_05.CU_00, cu_rb_read_vectorial, 0.000000000000
406, GPU1.SA_05.CU_00, cu_rb_write_vectorial, 0.000000000000
407, GPU1.SA_05.CU_01, cu_rb_read_scalar, 0.000000000000
408, GPU1.SA_05.CU_01, cu_rb_write_scalar, 0.000000000000
409, GPU1.SA_05.CU_01, cu_rb_read_vectorial, 0.000000000000
410, GPU1.SA_05.CU_01, cu_rb_write_vectorial, 0.000000000000
411, GPU1.SA_05.CU_02, cu_rb_read_scalar, 0.000000000000
412, GPU1.SA_05.CU_02, cu_rb_write_scalar, 0.000000000000
413, GPU1.SA_05.CU_02, cu_rb_read_vectorial, 0.000000000000
414, GPU1.SA_05.CU_02, cu_rb_write_vectorial, 0.000000000000
415, GPU1.SA_05.CU_03, cu_rb_read_scalar, 0.000000000000
416, GPU1.SA_05.CU_03, cu_rb_write_scalar, 0.000000000000
